"№","Вопрос","Правильная буква","Правильный ответ","Объяснение"
"1","На занятиях студенты-филологи… литературу","Б","изучают","Правильно: «изучают литературу». Глагол «изучать» употребляется с учебными предметами и областями знания. «Учить» чаще значит заучивать материал: слова, стихотворение, правило. «Учиться» требует другой конструкции: учиться чему-либо или где-либо."
"2","Эти упражнения можно… разными методами","Б","выполнить","Правильно: «выполнить упражнения». С существительным «упражнения» в учебном стиле лучше сочетается глагол «выполнить». «Сделать упражнения» разговорно возможно, но менее нейтрально. «Решить» обычно употребляется со словом «задача»."
"3","На третьем этаже находится… декана","А","кабинет","Правильно: «кабинет декана». «Кабинет» — официальное рабочее помещение должностного лица. «Комната декана» звучит бытово, а «помещение декана» не является устойчивым сочетанием."
"4","Эти… журналы мне больше не нужны","А","старые","Правильно: «старые журналы». Для журналов нейтрально говорят «старые». «Устаревшие» чаще относится к информации, данным, методам. «Поношенные» употребляется в основном об одежде и обуви."
"5","Михаилу нравится…","А","классическая музыка","Правильно: «Михаилу нравится классическая музыка». После «нравится» предмет, который нравится, стоит в именительном падеже: музыка нравится кому? Михаилу."
"6","Студентам интересна…","А","современная литература","Правильно: «Студентам интересна современная литература». Слово «литература» здесь подлежащее и стоит в именительном падеже."
"7","Скоро в городе откроется… театр","А","новый драматический","Правильно: «откроется новый драматический театр». Словосочетание согласуется с подлежащим «театр» в именительном падеже."
"8","У нас нет… на этой неделе","А","практических занятий","Правильно: «нет практических занятий». После слова «нет» существительное обычно ставится в родительном падеже."
"9","В программе участвовали артисты…","А","театра имени Вахтангова","Правильно: «артисты театра имени Вахтангова». Здесь нужно указать принадлежность: артисты чего? театра."
"10","В нашем районе много…","А","спортивных секций","Правильно: «много спортивных секций». После слов количества типа «много», «мало», «несколько» часто используется родительный падеж множественного числа."
"11","Вчера мы были в гостях…","А","у друзей","Правильно: «были в гостях у друзей». Устойчивая конструкция: быть в гостях у кого-либо."
"12","После занятий студенты пошли…","А","в библиотеку","Правильно: «пошли в библиотеку». Если речь о движении внутрь учреждения, используется «в» + винительный падеж."
"13","Анна получила сообщение…","А","от брата","Правильный ответ: А. от брата. Сообщение можно получить от кого? — от брата."
"14","…профессия требует знаний","А","Эта","Правильно: «Эта профессия». Слово «профессия» женского рода, именительный падеж единственного числа: эта."
"15","Университет находится…","А","рядом с парком","Правильно: «рядом с парком». Наречие «рядом» в этой конструкции требует предлога «с» и творительного падежа."
"16","Мне нужно купить подарок…","А","для сестры","Правильно: «подарок для сестры». Предлог «для» указывает адресата или назначение подарка и требует родительного падежа."
"17","…детям нельзя смотреть этот фильм","А","Маленьким","Правильно: «Маленьким детям нельзя…». В конструкции «кому нельзя?» используется дательный падеж."
"18","…понравилось представление","А","Иностранным туристам","Правильно: «Иностранным туристам понравилось представление». После «понравилось» лицо, которому понравилось, стоит в дательном падеже."
"19","…трудно вставать рано","А","Моему другу","Правильно: «Моему другу трудно вставать рано». В безличной конструкции «кому трудно?» используется дательный падеж."
"20","Сегодня… исполняется 18 лет","А","моей подруге","Правильно: «моей подруге исполняется 18 лет». Возраст «исполняется» кому? — дательный падеж."
"21","Завтра я иду…","А","к врачу","Правильно: «иду к врачу». Для движения к человеку используется предлог «к» + дательный падеж."
"22","Студенты отправляют письма…","А","по почте","Правильно: «отправляют письма по почте». Это способ отправки. «На почте» означает место, где выполняется действие."
"23","Где можно найти справочник…?","А","по грамматике","Правильно: «справочник по грамматике». Предлог «по» часто используется для указания темы учебника, пособия или справочника."
"24","Дежурный ходит… и проверяет порядок.","А","по кабинетам","Правильный ответ: А. по кабинетам. Глагол ходить в значении движения по разным местам употребляется с по + дательный падеж: ходить по кабинетам."
"25","В аудитории ждут…","А","студентов","Правильно: «ждут студентов». Глагол «ждать» с одушевлённым объектом требует родительного или винительного падежа; здесь форма «студентов» совпадает для обоих."
